COUNTRY,GENDER,AGE,MARITAL,EMPLOYMENT,INCOME,RELG_NOW,SPIRIT_NOW,AFFILIATION,SBS,EDAS,DAQ,LE_Sum,DASS_Sum,EX_Sum,RELBEH_Sum,LOCUS_Sum,SWLS_Sum,GOD_pSum,GOD_nSum
USA,2,24,3,1,7,4,8,Christian,4.0,1.833333333,5.133333333,9.0,56.0,11,38.0,22,13.0,28.0,28.0
USA,1,25,1,2,5,7,4,Christian,3.666666667,-2.083333333,1.133333333,2.0,31.0,11,25.0,14,7.0,28.0,-28.0
USA,2,25,1,1,5,1,1,Christian,0.666666667,2.25,5.8,3.0,40.0,11,3.0,-24,-14.0,20.0,13.0
USA,1,42,3,2,6,1,2,Christian,4.0,4.0,3.2,2.0,33.0,18,10.0,-16,15.0,0.0,-28.0
USA,2,41,3,1,6,1,1,Christian,4.0,2.166666667,4.466666667,1.0,25.0,11,0.0,0,15.0,28.0,-28.0
USA,1,38,3,2,6,6,6,Christian,4.0,-3.416666667,3.066666667,11.0,57.0,12,30.0,12,-8.0,20.0,5.0
USA,2,29,3,1,5,4,4,Christian,-1.0,0.916666667,7.466666667,0.0,27.0,13,8.0,24,14.0,28.0,-28.0
USA,2,27,1,2,8,5,7,Christian,3.166666667,2.666666667,6.133333333,8.0,32.0,18,32.0,20,12.0,28.0,-1.0
USA,2,30,3,1,5,8,4,Christian,0.666666667,0.0,0.4,5.0,25.0,8,19.0,8,12.0,28.0,-28.0
USA,1,42,3,1,6,8,8,Christian,2.333333333,1.916666667,5.933333333,22.0,52.0,17,37.0,16,7.0,11.0,16.0
Russia,2,29,3,1,2,4,4,Christian,3.333333333,-4.0,2.0,56.0,40.0,9,7.0,8,4.0,21.0,0.0
Russia,2,41,3,1,2,2,4,Christian,1.666666667,1.416666667,2.6,49.0,30.0,12,1.0,-24,4.0,5.0,-19.0
Russia,2,42,2,1,5,2,2,Christian,0.0,4.0,5.333333333,48.0,55.0,16,3.0,-4,-15.0,1.0,0.0
Russia,1,32,3,1,2,2,1,Christian,3.5,-3.5,6.466666667,51.0,45.0,13,5.0,-21,-10.0,0.0,-24.0
Russia,1,28,3,1,6,4,5,Christian,1.833333333,1.0,4.066666667,57.0,62.0,12,13.0,7,10.0,17.0,-13.0
Russia,2,41,2,1,6,2,1,Christian,-0.5,-2.5,0.8,50.0,45.0,14,3.0,-24,-4.0,0.0,-9.0
Russia,2,43,3,1,5,3,4,Christian,2.0,1.5,5.466666667,52.0,39.0,9,3.0,8,-4.0,18.0,-18.0
Russia,1,27,3,1,5,2,1,Christian,-0.166666667,-0.666666667,3.333333333,54.0,41.0,11,6.0,-12,7.0,0.0,0.0
Russia,1,19,1,1,6,0,5,Christian,2.666666667,-4.0,2.266666667,55.0,40.0,10,7.0,-24,12.0,8.0,0.0
Russia,1,25,1,1,6,5,5,Christian,1.0,0.25,1.733333333,52.0,42.0,12,7.0,0,1.0,14.0,-23.0
Russia,2,51,3,3,4,2,5,Christian,-1.0,1.916666667,4.6,53.0,48.0,10,10.0,-15,5.0,-13.0,-16.0
Russia,1,40,3,2,6,6,5,Christian,3.5,0.0,0.266666667,52.0,46.0,7,15.0,6,2.0,22.0,-24.0
Russia,2,37,3,1,4,3,3,Christian,1.166666667,0.583333333,3.4,53.0,42.0,15,14.0,2,-5.0,4.0,1.0
Russia,1,23,3,2,5,2,1,Christian,2.666666667,-0.833333333,1.866666667,52.0,46.0,12,0.0,-16,-3.0,19.0,-21.0
Russia,2,29,3,1,4,2,2,Christian,0.666666667,-0.416666667,2.933333333,53.0,41.0,9,3.0,0,4.0,0.0,0.0
Russia,2,40,2,1,4,5,5,Christian,2.0,4.0,7.0,42.0,41.0,25,12.0,0,-3.0,0.0,0.0
Russia,2,31,3,1,6,4,2,Christian,2.166666667,3.083333333,2.866666667,57.0,49.0,14,1.0,-1,-3.0,19.0,-12.0
Russia,1,37,3,4,5,5,5,Christian,3.666666667,1.916666667,4.4,49.0,39.0,13,20.0,9,1.0,19.0,-24.0
Russia,1,39,3,1,8,6,5,Christian,3.5,-3.333333333,3.533333333,54.0,29.0,12,4.0,0,9.0,22.0,-24.0
Russia,1,28,2,4,8,8,8,Christian,4.0,4.0,8.0,56.0,24.0,8,27.0,12,6.0,8.0,-28.0
Russia,1,23,2,4,4,4,4,Christian,2.5,3.333333333,7.133333333,56.0,51.0,11,6.0,-5,-2.0,15.0,-10.0
Russia,1,37,3,1,2,7,7,Christian,3.833333333,3.25,4.666666667,48.0,37.0,13,12.0,19,-13.0,27.0,4.0
Russia,2,27,1,1,4,6,4,Christian,3.833333333,1.25,3.666666667,52.0,48.0,14,18.0,8,3.0,28.0,15.0
Russia,2,57,3,3,5,1,1,Christian,2.0,-2.5,4.6,49.0,42.0,11,0.0,-24,9.0,25.0,-18.0
Russia,2,41,3,1,4,3,3,Christian,2.166666667,0.0,4.266666667,41.0,41.0,10,10.0,3,-2.0,20.0,-17.0
Russia,2,28,2,1,4,3,3,Christian,3.333333333,-2.833333333,3.2,52.0,60.0,12,5.0,5,-6.0,28.0,-18.0
Russia,1,48,1,1,3,2,6,Christian,-1.0,-4.0,1.066666667,50.0,33.0,10,7.0,0,-12.0,0.0,-28.0
Russia,1,41,3,1,5,2,2,Christian,-4.0,4.0,6.666666667,54.0,37.0,12,2.0,-24,12.0,0.0,0.0
Russia,1,33,3,3,7,3,4,Christian,0.666666667,-4.0,0.4,56.0,21.0,9,4.0,-24,0.0,0.0,0.0
Russia,1,45,2,1,7,6,6,Christian,2.166666667,1.083333333,6.6,54.0,36.0,17,10.0,17,5.0,22.0,-10.0
Russia,2,24,3,1,6,4,4,Christian,4.0,1.083333333,4.066666667,52.0,45.0,11,12.0,6,10.0,28.0,-28.0
Russia,1,47,1,1,3,5,6,Christian,3.333333333,-3.0,6.0,48.0,60.0,22,10.0,16,-12.0,24.0,-4.0
Russia,2,44,3,1,5,5,8,Christian,2.333333333,3.0,3.866666667,46.0,28.0,12,6.0,1,-6.0,20.0,-28.0
Russia,2,38,3,1,5,4,4,Christian,3.5,-2.166666667,1.8,49.0,40.0,13,11.0,16,-8.0,28.0,-28.0
Russia,1,26,3,7,1,1,2,Christian,3.833333333,2.333333333,4.333333333,52.0,60.0,14,4.0,-2,-6.0,25.0,-27.0
Turkey,1,23,3,5,5,6,5,Christian,3.333333333,2.75,4.6,54.0,50.0,12,10.0,-1,12.0,21.0,-15.0
Russia,1,32,3,1,10,3,3,Christian,0.0,-0.166666667,3.0,58.0,42.0,12,15.0,0,0.0,0.0,0.0
Russia,1,25,1,1,2,3,3,Christian,4.0,1.416666667,6.533333333,48.0,45.0,10,3.0,0,-2.0,25.0,-8.0
Russia,1,23,3,1,2,1,1,Christian,-2.666666667,-2.833333333,0.533333333,29.0,42.0,12,20.0,-24,-15.0,-28.0,-28.0
Russia,2,49,1,1,7,2,4,Christian,1.166666667,2.083333333,5.6,47.0,37.0,15,0.0,-18,-8.0,-3.0,0.0
Russia,1,56,3,3,4,4,6,Christian,2.0,3.0,6.133333333,47.0,44.0,12,9.0,-2,-2.0,14.0,-7.0
Russia,2,32,2,1,4,4,6,Christian,2.833333333,-3.333333333,1.266666667,51.0,41.0,11,10.0,0,0.0,15.0,-28.0
Russia,2,21,1,1,6,3,5,Christian,1.833333333,-4.0,3.2,56.0,22.0,13,10.0,5,4.0,14.0,-22.0
Russia,2,38,3,1,3,6,6,Christian,3.833333333,0.0,0.0,51.0,37.0,16,5.0,24,0.0,28.0,-28.0
Russia,1,35,3,7,4,4,4,Christian,2.666666667,2.25,6.133333333,51.0,53.0,12,10.0,0,0.0,21.0,-28.0
Russia,1,32,1,1,5,6,6,Christian,3.0,0.0,6.466666667,55.0,46.0,15,13.0,3,6.0,27.0,-2.0
Russia,2,44,3,1,6,5,3,Christian,4.0,-2.833333333,0.8,39.0,51.0,9,16.0,17,-4.0,28.0,-24.0
Russia,1,30,1,4,3,5,5,Christian,1.833333333,0.25,7.133333333,50.0,27.0,16,7.0,13,-6.0,14.0,-16.0
Russia,1,53,3,4,6,3,3,Christian,4.0,3.583333333,5.0,45.0,49.0,7,20.0,24,2.0,20.0,-28.0
